incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
816020872,C17040312,8/14/2017 8:30,"BURGLARY, RES., N/F","BURGLARY, RES., N/F",,11200 Block SE 76 ST,,NEWCASTLE,WA,98056,,47.5348145,-122.191002,8/22/2017 5:30,9/13/2017 5:32,POINT (-122.191002 47.5348145),8,Monday,Breaking & Entering
815510967,C17040285,8/14/2017 8:50,"BURGLARY, RES., N/F","BURGLARY, RES., N/F",,1100 Block SW 114 ST,,BURIEN,WA,98146,,47.5010926,-122.3484656,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3484656 47.5010926),8,Monday,Breaking & Entering
815510966,C17040301,8/14/2017 9:00,"BURGLARY, RES., N/F","BURGLARY, RES., N/F",,4800 Block S 166 ST,,SEATAC,WA,98188,,47.4545063,-122.2728648,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.2728648 47.4545063),9,Monday,Breaking & Entering
815829061,C17040246,8/14/2017 9:00,"BURGLARY, RES., F/E","BURGLARY, RES., F/E",,20600 Block 14 AV S,,SEATAC,WA,98198,,47.4182942,-122.3155862,8/20/2017 5:30,9/13/2017 5:32,POINT (-122.3155862 47.4182942),9,Monday,Breaking & Entering
815591745,C17040197,8/14/2017 10:00,TRESPASS,TRESPASS,,SE 391 ST & 164 AV SE,,AUBURN,WA,98092,,47.2512422,-122.1229077,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.1229077 47.2512422),10,Monday,Property Crime
815753390,C17040338,8/14/2017 10:00,"THEFT, AUTO","THEFT, AUTO",,14500 Block 25 AV NE,,SHORELINE,WA,98155,,47.7338276,-122.3019451,8/19/2017 5:30,9/13/2017 5:32,POINT (-122.3019451 47.7338276),10,Monday,Theft of Vehicle
815591743,C17040184,8/14/2017 10:30,"VIOLATION OF COURT ORDERS, (FELONY)","VIOLATION OF COURT ORDERS, (FELONY)",,11000 Block 1 AV S,,SEATTLE,WA,98168,,47.5052145,-122.333609,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.333609 47.5052145),10,Monday,Other
815510965,C17040191,8/14/2017 11:00,TRESPASS,TRESPASS,,200 Block SW 152 ST,,BURIEN,WA,98166,,47.4668652,-122.3366932,8/16/2017 5:37,9/13/2017 5:32,POINT (-122.3366932 47.4668652),11,Monday,Property Crime
815510964,C17040377,8/14/2017 11:30,"LARCENY, NSC","LARCENY, NSC",,3700 Block S 164 ST,,SEATAC,WA,98188,,47.4565994,-122.2861571,8/16/2017 5:37,9/14/2017 5:32,POINT (-122.2861571 47.4565994),11,Monday,Theft
815591739,C17040174,8/14/2017 12:00,"FORGERY (DOCUMENTS, COURT PAPERS, ETC)","FORGERY (DOCUMENTS, COURT PAPERS, ETC)",,2500 Block NW 192 PL,,SHORELINE,WA,98177,,47.7692329,-122.3867817,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.3867817 47.7692329),12,Monday,Property Crime
815591740,C17040206,8/14/2017 12:00,"LARCENY, TFA","LARCENY, TFA",,38800 Block 164 AV SE,,AUBURN,WA,98092,,47.2514466,-122.1229098,8/17/2017 5:30,9/13/2017 5:32,POINT (-122.1229098 47.2514466),12,Monday,Theft from Vehicle
816411197,C17041646,8/14/2017 12:00,"BURGLARY, RES., N/F","BURGLARY, RES., N/F",,7400 Block NE 155 ST,,KENMORE,WA,98028,,47.7407017,-122.2422065,8/24/2017 5:31,9/21/2017 5:31,POINT (-122.2422065 47.7407017),12,Monday,Breaking & Entering
817316868,C17040654,8/14/2017 12:00,CONTROLLED SUBSTANCE VIOLATION,CONTROLLED SUBSTANCE VIOLATION,,500 Block 3 AV,,SEATTLE,WA,98104,,47.602138,-122.3308216,9/1/2017 5:31,9/13/2017 5:32,POINT (-122.3308216 47.602138),12,Monday,Drugs
815897984,C17040208,8/14/2017 12:21,"ROBBERY, CHAIN STORE","ROBBERY, CHAIN STORE",,17500 Block AURORA AV N,,SHORELINE,WA,98133,,47.7562731,-122.3450397,8/21/2017 5:30,9/13/2017 5:32,POINT (-122.3450397 47.7562731),12,Monday,Robbery
